Month,Product ,US,Canada,EMEA,LAAP,Total
Jun-23,OuterWear,14516,11572,9404,2413,37905
Jul-23,OuterWear,12030,8830,9489,2050,32399
Aug-23,OuterWear,13112,10395,8732,1870,34109
Jan-10,SportsWear,11237,8939,4563,2965,27704
Feb-10,SportsWear,11648,8531,4606,2915,27700
Mar-10,SportsWear,10905,9185,4518,2877,27485
Apr-10,SportsWear,11977,9747,4674,2900,29298
May-10,SportsWear,11007,8863,4568,2986,27424
Jun-10,SportsWear,11498,9863,4757,2921,29039
Jul-10,SportsWear,11408,9070,4890,2963,28331
Aug-10,SportsWear,11785,8563,4919,2922,28189
Sep-10,SportsWear,11191,9294,4925,2892,28302
Oct-10,SportsWear,11836,9662,4967,2967,29432
Nov-10,SportsWear,11776,9658,4704,2978,29116
Dec-10,SportsWear,11906,8724,4984,2942,28556
Jan-11,SportsWear,11552,9257,4788,2895,28492
Feb-11,SportsWear,11343,9272,4586,2893,28094
Mar-11,SportsWear,11243,9033,4775,2857,27908
Apr-11,SportsWear,11972,9216,4693,2917,28798
May-11,SportsWear,10940,8910,4857,2959,27666
Jun-11,SportsWear,11950,9490,4829,2953,29222
Jul-11,SportsWear,10942,9974,4546,2878,28340
Aug-11,SportsWear,10567,8518,4701,2864,26650
Sep-11,SportsWear,11282,8895,4526,2855,27558
Oct-11,SportsWear,11032,8648,4677,2868,27225
Nov-11,SportsWear,11577,9742,4948,2987,29254
Dec-11,SportsWear,11308,9750,4590,2909,28557
Jan-12,SportsWear,11813,9808,4739,2855,29215
Feb-12,SportsWear,10500,9163,4525,2990,27178
Mar-12,SportsWear,11233,9871,4694,2915,28713
Apr-12,SportsWear,10518,8593,4538,2921,26570
May-12,SportsWear,11681,8517,4579,2865,27642
Jun-12,SportsWear,10504,8792,4844,2888,27028
Jul-12,SportsWear,11561,9892,4586,2931,28970
Aug-12,SportsWear,10874,9440,4638,2993,27945
Sep-12,SportsWear,10866,9866,4861,2883,28476
Oct-12,SportsWear,10644,9045,4929,2937,27555
Nov-12,SportsWear,11549,9521,4850,2956,28876
Dec-12,SportsWear,11377,9664,4513,2904,28458
Jan-13,SportsWear,11851,9390,4675,2876,28792
Feb-13,SportsWear,10720,8726,4682,2958,27086
Mar-13,SportsWear,11918,9315,4708,2895,28836
Apr-13,SportsWear,11582,9954,4550,2856,28942
May-13,SportsWear,10965,9299,4506,2939,27709
Jun-13,SportsWear,10799,9918,4797,2951,28465
Jul-13,SportsWear,11880,9139,4880,2967,28866
Aug-13,SportsWear,10500,8573,4510,2874,26457
Sep-13,SportsWear,11418,9783,4904,2968,29073
Oct-13,SportsWear,11488,9115,4826,2856,28285
Nov-13,SportsWear,11761,9463,4731,2901,28856
Dec-13,SportsWear,10535,9427,4782,2887,27631
Jan-14,SportsWear,11006,8849,4522,2963,27340
Feb-14,SportsWear,11674,9479,4632,2866,28651
Mar-14,SportsWear,11618,8799,4863,2997,28277
Apr-14,SportsWear,11349,9825,4526,2972,28672
May-14,SportsWear,11387,9619,4759,2908,28673
Jun-14,SportsWear,11607,9264,4548,2935,28354
Jul-14,SportsWear,10778,9872,4958,2995,28603
Aug-14,SportsWear,10537,8761,4788,2855,26941
Sep-14,SportsWear,11043,9412,4966,2850,28271
Oct-14,SportsWear,11910,9637,4811,2869,29227
Nov-14,SportsWear,11561,9362,4684,2901,28508
Dec-14,SportsWear,11608,9301,4817,2863,28589
Jan-15,SportsWear,10836,8690,4948,2988,27462
Feb-15,SportsWear,10825,9341,4790,2910,27866
Mar-15,SportsWear,11794,8542,4586,2984,27906
Apr-15,SportsWear,11520,9826,4632,2907,28885
May-15,SportsWear,11632,8987,4714,2888,28221
Jun-15,SportsWear,11943,9839,4763,2991,29536
Jul-15,SportsWear,10800,8502,4830,2978,27110
Aug-15,SportsWear,10507,9193,4665,2991,27356
Sep-15,SportsWear,10547,9564,4682,2884,27677
Oct-15,SportsWear,10546,9324,4636,2853,27359
Nov-15,SportsWear,10907,9632,4589,2909,28037
Dec-15,SportsWear,10650,9466,4834,2994,27944
Jan-16,SportsWear,10595,9590,4678,2855,27718
Feb-16,SportsWear,11677,9222,4870,2855,28624
Mar-16,SportsWear,11910,9446,4836,2897,29089
Apr-16,SportsWear,11412,9969,4858,2915,29154
May-16,SportsWear,11263,9886,4696,2936,28781
Jun-16,SportsWear,11356,9844,4861,2884,28945
Jul-16,SportsWear,11946,9081,4690,2873,28590
Aug-16,SportsWear,11120,9587,4901,2922,28530
Sep-16,SportsWear,11250,8711,4904,2879,27744
Oct-16,SportsWear,11362,8678,4536,2866,27442
Nov-16,SportsWear,11295,9528,4748,2980,28551
Dec-16,SportsWear,10838,8683,4917,2928,27366
Jan-17,SportsWear,10684,8705,4725,2879,26993
Feb-17,SportsWear,10746,8797,4971,2924,27438
Mar-17,SportsWear,11335,9068,4705,2974,28082
Apr-17,SportsWear,11932,9517,4652,2991,29092
May-17,SportsWear,11601,9751,4843,2956,29151
Jun-17,SportsWear,11093,9166,4897,2917,28073
Jul-17,SportsWear,10839,9116,4748,2976,27679
Aug-17,SportsWear,10754,9741,4678,2956,28129
Sep-17,SportsWear,10782,9013,4930,2912,27637
Oct-17,SportsWear,10922,9162,4987,2924,27995
Nov-17,SportsWear,10635,9627,4778,2967,28007
Dec-17,SportsWear,11257,8577,4597,2994,27425
Jan-18,SportsWear,11418,8875,4733,2965,27991
Feb-18,SportsWear,11552,9822,4846,2912,29132
Mar-18,SportsWear,10879,8595,4532,2861,26867
Apr-18,SportsWear,11692,9391,4616,2993,28692
May-18,SportsWear,11869,9175,4617,2960,28621
Jun-18,SportsWear,10545,9069,4784,2877,27275
Jul-18,SportsWear,11075,9409,4770,2926,28180
Aug-18,SportsWear,11919,9745,4683,2987,29334
Sep-18,SportsWear,11332,8686,4770,2906,27694
Oct-18,SportsWear,11250,8979,4712,2939,27880
Nov-18,SportsWear,11345,9840,4824,2911,28920
Dec-18,SportsWear,11137,8905,4737,2978,27757
Jan-19,SportsWear,11201,8764,4715,2915,27595
Feb-19,SportsWear,11920,9612,4671,2992,29195
Mar-19,SportsWear,11904,9961,4766,2899,29530
Apr-19,SportsWear,10941,8919,4844,2985,27689
May-19,SportsWear,11117,9967,4645,2922,28651
Jun-19,SportsWear,10570,9817,4518,2996,27901
Jul-19,SportsWear,11732,9234,4926,2859,28751
Aug-19,SportsWear,11528,8814,4629,2931,27902
Sep-19,SportsWear,11955,9867,4706,2869,29397
Oct-19,SportsWear,11272,8742,4864,2875,27753
Nov-19,SportsWear,11599,9815,4514,2851,28779
Dec-19,SportsWear,10986,9602,4639,2871,28098
Jan-20,SportsWear,10611,9603,4528,2955,27697
Feb-20,SportsWear,10529,8669,4683,2926,26807
Mar-20,SportsWear,11401,8587,4683,2883,27554
Apr-20,SportsWear,11364,8920,4620,2869,27773
May-20,SportsWear,11780,9069,4940,2874,28663
Jun-20,SportsWear,11377,9311,4926,2922,28536
Jul-20,SportsWear,11707,9377,4690,2893,28667
Aug-20,SportsWear,11132,8573,4568,2976,27249
Sep-20,SportsWear,11962,8534,4936,2886,28318
Oct-20,SportsWear,11990,9390,4724,2913,29017
Nov-20,SportsWear,10933,8965,4633,2916,27447
Dec-20,SportsWear,11553,8647,4787,2985,27972
Jan-21,SportsWear,11494,9740,4548,2864,28646
Feb-21,SportsWear,11066,8937,4609,2988,27600
Mar-21,SportsWear,11426,8767,4785,2850,27828
Apr-21,SportsWear,11505,9398,4772,2983,28658
May-21,SportsWear,10573,9745,4896,2914,28128
Jun-21,SportsWear,11564,9809,4572,2978,28923
Jul-21,SportsWear,11629,9370,4948,2898,28845
Aug-21,SportsWear,11863,8721,4890,2904,28378
Sep-21,SportsWear,10799,9106,4509,2893,27307
Oct-21,SportsWear,11999,9851,4942,2926,29718
Nov-21,SportsWear,11693,8891,4985,2975,28544
Dec-21,SportsWear,11080,9257,4804,2938,28079
Jan-22,SportsWear,10725,9991,4734,2942,28392
Feb-22,SportsWear,11662,8878,4552,2925,28017
Mar-22,SportsWear,11265,9874,4856,2922,28917
Apr-22,SportsWear,11833,9438,4532,2879,28682
May-22,SportsWear,11046,8697,4804,2971,27518
Jun-22,SportsWear,10592,9926,4783,2992,28293
Jul-22,SportsWear,10777,9527,4883,2936,28123
Aug-22,SportsWear,10944,8733,4641,2861,27179
Sep-22,SportsWear,11360,9043,4703,2979,28085
Oct-22,SportsWear,10863,9894,4651,2850,28258
Nov-22,SportsWear,10995,9668,4962,2852,28477
Dec-22,SportsWear,10671,9024,4741,2930,27366
Jan-23,SportsWear,10685,9265,4734,2937,27621
Feb-23,SportsWear,11052,8837,4983,2973,27845
Mar-23,SportsWear,10994,8597,4502,2952,27045
Apr-23,SportsWear,11101,9187,4631,2878,27797
May-23,SportsWear,10652,9415,4910,2904,27881
Jun-23,SportsWear,11905,8899,4890,2861,28555
Jul-23,SportsWear,11585,9611,4501,2967,28664
Aug-23,SportsWear,11507,8762,4672,2969,27910
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
